learning_rate,batch_size,optimizer,epochs,val_acc,val_loss
0.001,16,adam,3,92.9113924050633,0.1767155232280493
0.001,32,adam,3,92.9113924050633,0.16638965269942818
0.001,64,adam,3,90.21097046413502,0.22567619599009814
0.0005,16,adam,3,91.47679324894514,0.19612766993076852
0.0005,32,adam,3,93.75527426160338,0.1638919308438505
0.0005,64,adam,3,92.23628691983123,0.21138008095716176
0.0001,16,adam,3,92.32067510548524,0.186018112351497
0.0001,32,adam,3,90.54852320675106,0.21293723568516343
0.0001,64,adam,3,89.87341772151899,0.23322741255948418
